,ENSG00000076242.13,ENSG00000178567.7,ENSG00000172728.14,ENSG00000066583.10,ENSG00000182648.10,ENSG00000140307.9,ENSG00000198718.11,ENSG00000112305.13,ENSG00000164466.11,ENSG00000147471.10,ENSG00000173085.12,ENSG00000113048.15,ENSG00000197557.6,ENSG00000132463.12,ENSG00000134970.13,ENSG00000114115.8,ENSG00000124228.13,ENSG00000187566.4,ENSG00000113013.11,ENSG00000100744.13,ENSG00000134049.4,ENSG00000075336.10,ENSG00000078668.12,ENSG00000127989.12,ENSG00000041880.13,ENSG00000147459.16,ENSG00000066926.9,ENSG00000104613.10,ENSG00000171703.15,ENSG00000108561.7,ENSG00000170899.9,ENSG00000179941.6,ENSG00000148143.11,ENSG00000103485.16,ENSG00000115514.10,ENSG00000176890.14,ENSG00000038274.15,ENSG00000248593.3,ENSG00000126218.10,ENSG00000131067.15,ENSG00000177337.6,ENSG00000128833.11,ENSG00000170638.8,ENSG00000138777.18,ENSG00000158966.12,ENSG00000171604.10,ENSG00000138674.15,ENSG00000137944.15,ENSG00000151093.6,ENSG00000021300.12,ENSG00000166902.4,ENSG00000163626.15,ENSG00000152527.12,ENSG00000165678.18,ENSG00000104660.16,ENSG00000104756.14,ENSG00000167699.12,ENSG00000019505.6,ENSG00000128050.7,ENSG00000011295.14,ENSG00000179299.15,ENSG00000132792.17,ENSG00000104689.8,ENSG00000102547.17,ENSG00000138663.7,ENSG00000010361.12,ENSG00000198042.9,ENSG00000095380.10,ENSG00000163513.16,ENSG00000180011.6,ENSG00000156735.9,ENSG00000185340.14,ENSG00000107897.17,ENSG00000171723.14,ENSG00000101544.7,ENSG00000198546.13,ENSG00000198862.12,ENSG00000123609.9,ENSG00000104765.13,ENSG00000099810.17,ENSG00000155893.10,ENSG00000144451.17,ENSG00000159713.9,ENSG00000124177.13,ENSG00000154914.15,ENSG00000157992.11,ENSG00000131844.14,ENSG00000132423.9,ENSG00000119772.15,ENSG00000163528.11,ENSG00000164219.8,ENSG00000134987.10,ENSG00000103260.7,ENSG00000067560.9,ENSG00000205978.5,ENSG00000164252.11,ENSG00000101470.8,ENSG00000168916.14,ENSG00000137767.12,ENSG00000115365.10
TCGA-VQ-AA68-01A-11R-A414-31,0.5146254513752486,-0.11631056752344988,-1.5237916583338003,0.6047348935349645,-3.0168708286460477,0.5734464708961805,-1.227022241887665,-0.45620409721660304,-0.010302287572614744,0.9310598969621091,-0.046057245207200975,-0.007622959844341631,-1.0601793760058285,0.6783738066236767,1.1846988485496794,-1.3059697824864973,1.1040425480065255,-1.1489268041457994,1.5833280972210861,0.9669337283005036,0.7379474341253812,-0.2678246616708546,1.2114636412331228,-1.3082543311995003,0.39228908310784133,-0.08427927004626194,0.1610695892019839,-0.26740495899542144,-1.9717955956715798,1.3231319866430762,0.15431032015518778,-0.733845927396624,-0.7601363609078504,-0.8227886112086507,0.49828832888907026,0.6565167637361355,0.39693176741855896,-0.6395916757895871,-2.6655781869135535,0.5048895385843533,0.07773102876877847,0.47393002729988437,1.3265458323514903,0.7326138393204547,-0.8052317441383929,0.877476909195535,1.3055979008640715,0.5014195507740575,-0.4347063029626967,0.07721211736024636,0.8807843794764008,-0.6813847605330626,-0.7777817875818663,1.8030246409166184,0.20988438206400986,0.10088374779878487,0.2434185786763884,1.1518536626470037,1.3403786483506146,-0.19282064639584878,-1.0593782048451152,0.5407897450836767,0.38901226782249126,-1.322286649304438,0.4427752952565651,-0.08548761103599196,-0.3784232623429657,0.334665608985913,1.9131215443510723,0.2578047045457593,0.13153735866977012,-0.08737693590564008,0.7751130389323536,-1.5248799492250429,0.41521516409530923,-0.9415872940807455,-0.06062476645639665,0.6253594855363841,0.512089784713547,-0.8638814712658371,-0.4126992564070252,-1.1008325848034828,-0.5120014926523464,-0.19159514003494515,-0.8922766278382317,1.0570402601777351,0.8239838816096199,-0.6111615466305309,-0.6177124528594993,-0.03528781117137585,-0.8085908340835579,0.18443893291126207,0.5276031118965614,2.7878097482806377,0.2658903479236272,0.29246426065852416,-3.1500984690164953,-1.575216871293257,0.4122130121490417,0.5943169075056627
TCGA-VQ-A8PB-01A-11R-A39E-31,-0.7584997145257311,-1.053805645566937,-0.07424916343603125,1.0562332539472554,-1.9263046391230227,0.727099358662256,-0.732464763067348,0.0858125051199192,0.5110070343412282,1.020759461447001,0.4152736619920737,0.540978639544484,-1.4285023609160428,0.9017515026571163,1.118821477184747,-1.2712421133840401,0.27014462896537417,-1.971677325892746,1.5963024872441225,0.5719858021772639,0.7580217843921725,-0.016063662884282803,1.1690309471534186,-0.47552225560849015,0.12194349173621884,0.6193037973727284,0.19444572467642726,0.6377959518301312,-1.0910024846347635,1.6160275012392613,-0.509557722403991,-1.008753180761342,-1.6708537405635864,-1.5245046532056545,0.02367122525913125,0.9364598578493701,0.7213281471111989,-0.8664534701427657,-1.8587369163051577,-1.4373123849311245,-0.7974677049271632,0.6196624116281958,0.666941585635652,0.8525073909750356,-0.9744610937106751,-0.6087833565238828,0.6891003142558061,0.56318232507132,-0.008521860209587928,-1.2916995296631664,0.6745570963212763,-0.2602250591855352,-1.8513991290499678,1.5765131066558982,0.6101481914365618,0.6690367538499009,0.635356328575939,-2.0109014273062344,1.0999932912918238,0.47557677733819587,-2.6055575121592596,0.1848986050444788,0.21856994029997318,-1.1154844887911788,0.43014366845164625,-1.7280204379692703,0.39792552413587673,0.7612002185099258,0.5160546251990911,0.1156202559975503,0.49365461951278494,0.49419651911285345,1.1575029457767325,0.14991868651587661,0.42479971563308555,0.19539048682393012,0.18970849062396944,0.2481968762683018,1.2036972685296095,-0.1096719426701197,-0.058895504707811956,-2.0814575463721416,0.04750174540539509,-0.38784391700354215,-0.09949880189338292,1.275359968104334,0.9468935601265192,0.2398023629036172,-1.316106542426734,0.4412872258468023,-0.04516808584792421,0.5405337427810774,0.38910734549887044,2.0729938851906335,-0.12875403281384135,0.5817054338067402,-1.918557816222168,-1.4470969809150207,0.7365308615524802,1.3211105751309606
TCGA-BR-8487-01A-11R-2402-13,0.029536795940444043,-0.9110652916853866,-0.459431708296688,0.9643345652494595,-0.8896577140461447,1.1874596946826672,-1.4818469342073899,0.03962147829092343,0.37350672657229,1.0344561325943553,0.032496546129586405,0.46762758034972296,-1.818849731041014,0.6377350684818356,1.2481487520336139,-0.9523459464416025,0.10824853404115582,-1.8458063802751596,1.4056484332244585,0.8103418640013273,1.09871379572403,-0.12445941384043296,1.0397359143463096,-0.2503918252492958,0.9195138075878945,0.041503304126985024,0.2169407203966304,0.4128883369234798,-0.08454760958022788,1.6529770482457071,-0.856375581231979,-0.11714459444271128,-1.7426403920196374,-1.4455275929226572,0.10189514014425707,1.240213528268261,0.6769585430140127,-0.6111494105682389,-2.3510100983303523,-0.24088171995969643,-0.9985808321250293,0.1589142157151225,1.0035323932792841,0.8860528172898918,-1.8630639568156662,-0.12665749827772632,0.37280339507834104,0.4902399544916018,0.10082766207701038,-1.644450677957425,1.0291848288575554,-0.11417879986278531,-1.8718659376293103,1.6871663044216687,0.49332537176292884,0.2486118755000168,0.7284437027400443,0.028183237277003705,0.9005311283383747,0.4321873228003027,-2.49631255894595,0.08893727071217504,0.19219834481251766,-1.214921630212358,0.3881719832199706,-1.2114797485949047,0.04357093778150546,0.7614043796453575,0.46266842557504106,0.04557978867339971,0.21885279535503013,0.6327206682013541,0.6526053623522712,-0.11447017665360913,0.23198081505563178,0.6099188229748661,-0.3155107803439421,0.7752378094156486,1.0521466069542185,-0.10131858023702982,-0.061415393496102234,-2.1482649966124066,-0.5420431786391263,-0.4197538958325532,-0.18711817805547815,1.4381258942861204,0.9007624104717341,0.23378688825415372,-1.198448177039482,0.4481754993652554,-0.10949564270965675,0.28752334001950336,0.4531781785171126,2.0736593624925197,-0.0670667603656726,0.37938700177751655,-3.0397817776525344,-1.8556188650668026,0.8745438152027437,0.33930706614998124
TCGA-HU-A4GP-11A-21R-A251-31,0.5935209024523547,0.5113578200594072,-1.4381628475389807,0.869811587399502,-1.723377229873861,0.6996201596645673,-0.5587012899782283,-0.054983334405306956,-0.6156496464662456,1.0855747482151925,-0.7104942388929204,0.2388152028222514,-0.6995288860254166,0.6692443504713285,1.4267467968965453,-0.11767183023972937,0.2921871190694228,-1.2638650338443347,1.5981375129047874,-0.22765208446033866,0.32627855926488797,-0.1478354458072393,1.4537172941396805,-1.3842776731464588,0.44283391435325137,-1.1177611739169593,0.024243291622350147,-0.0642856129887421,0.5906650886494857,1.451530982888417,0.6254479156040945,0.10033414549259446,0.12821315265218497,-0.3979938479616174,0.0767407000657936,-0.42645261038404525,0.4607180290296331,-0.65519123001592,0.08441615364316447,0.11825731838215221,-0.2809423306766051,-1.768288307820081,0.1338988647954393,0.5889598656794325,-0.28166462559320704,0.6038926191041197,1.4456739321616223,0.4609847585674862,-0.9408138490164112,0.17000659113011915,0.9137636207612755,-0.9509359582634911,-0.49633058987030004,2.210539102683569,0.2030607520411211,0.423559513476495,0.07498188807090364,-1.070953384663582,0.2054993344733972,-0.13608121078642135,-1.7200461003542078,0.16472378557216433,-1.5889899978269248,1.5703538347718058,0.852673512648276,0.01703899607839472,-0.34131831038100335,-0.5093941055653765,2.077873775821643,-0.014928852572687418,-0.5707580499023374,0.35828665941025295,0.05099465768049257,-0.5096034304228056,0.007822812532533759,-0.1997749319747608,0.10420608908515117,0.01917361491470645,1.2276896606714096,-0.7176669475494599,-1.089150227188186,-0.7828309407842493,1.0145854995148613,0.27800147214434384,-4.091764653238204,-2.7533582819478424,0.2669943910696139,0.10878804869211689,-0.2570494059251768,0.5529600835358918,-0.22583414797948512,-0.14829506591988875,0.5655370487062622,3.000083436969557,0.49870027971885095,0.26174584711005283,-1.5151989325131532,-1.0242322127881969,0.09336130546385818,1.1952604666699127
TCGA-D7-A6EY-01A-21R-A31P-31,-0.5528371964621069,-1.0037699962948479,-0.5232773272553345,0.7999642711874108,-2.081325930089885,1.1139503535019417,-1.2905917228486763,-0.13259410816540146,0.40271261013794085,1.2945259125106605,0.020086357659284907,0.5605569034824703,-1.472726611520306,0.6756131198314398,1.3179548472419274,-0.8335853604564661,0.13189681552571755,-2.154371845232899,1.6732323200740489,0.921169978391156,0.5849774061380596,-0.3590433490559421,1.3266453357326518,-1.7026293748342882,0.36405018318175786,0.4276880032265576,0.2196309254543765,0.42509598906207996,-1.0885914590548569,1.9336740094680218,-0.8654077540823708,-1.1343245207261965,-1.26665703941767,-1.4743707621826594,0.0067735509871977104,0.9069328986895987,0.7804431155350864,-1.1095914086763805,-2.538136328518158,-0.22836092442833822,-1.0901110166942003,0.2873793667584394,1.1941258790775315,0.6839486164171165,-1.2964139312854626,0.4795947728339022,0.5363226265365146,0.6308261744259989,-0.16017910286009965,-0.06952320392671289,0.9214507686954837,-0.5964266026791193,-1.038506200412221,2.001148898695246,0.7166997793578719,0.4933494071188003,0.4554579845648092,-1.9645711452930879,1.0158430619930183,0.35165984418127,-0.8861435239139067,0.21862323343085913,0.8546161218707576,-0.8424985878462028,0.4031503259341124,-1.5622103785011257,0.22278558073621438,0.8949985126251048,1.145740947287364,-0.1123500725973304,0.35941147095956927,0.39271380925877003,0.9278987943278706,-0.7230549162107542,0.22096522355589387,-0.10453833614360342,-0.3485568096647995,0.7700141762195647,0.9032086470512304,0.11468566782088686,-0.4433676437321892,-1.3535818116279201,-1.0752117023466112,-0.3347723333497718,-0.21293866415107676,1.3140531623165965,1.2478022630609371,-0.016920459750919922,-0.687563456659669,0.19295960619700167,-0.42229717544737055,0.3760390637246248,-0.5614913012054167,2.3992715342744146,0.5822032502666739,0.332789386438369,-2.232454940245483,-0.9605665714630446,1.016791458217369,0.36233858406132763
TCGA-BR-8284-01A-11R-2343-13,0.33746719021353794,-0.26655030949212544,-0.49886876856208046,1.3404565683733876,-1.3968568089556541,0.6434299859962641,-0.8545862110020933,-0.08362177739234443,0.026409984247080836,0.9595009093030034,-0.09640058357755625,0.6401727509643984,-1.2274791173670851,0.569236576266831,1.3805242992558886,-1.164478908266917,0.32414675918928737,-1.1432525501159274,2.1084643719222917,0.25561893053021273,0.7152518104656426,-0.4135208560237151,1.1848812165574214,-0.6838909530165093,0.26659468912690515,-0.1372023736879169,0.022740486336088925,0.2483714191367189,-1.0956428412905497,2.133265191216954,-0.330691990713468,-0.6645223235367275,-0.7251255217378376,-1.3954934111824073,0.23695504249463806,0.9907440537760152,0.6952578093220563,-0.985304472035882,-2.168007923073188,-0.3615803027477122,-0.47828788902252184,0.28610329047659383,1.1865800278095127,0.4841320912427102,-0.6724172640863326,-0.35158812645093407,1.0004763471137876,0.33445519781377636,-0.6307842558151008,-1.5605567180784616,0.8504619271319376,-0.3954299512083945,-1.68403938779499,1.860667552042115,0.6971014619718153,0.3560944862513429,0.38681328590465697,0.37382513681772833,1.1431917897433521,-0.07077599984006856,-2.9326241927374954,-0.10169302927918722,0.3730830050969658,-0.8144451785697852,0.3275473339338316,-1.3822046431547101,-0.10875171851931745,0.6928795905914982,1.4120059944480965,-0.1969289535280906,0.07859486482104122,0.3628459637635616,0.5248593115090938,-0.3478677957004062,-0.08368523590864999,-0.04298799684524238,-0.5131570456560648,0.5054532684419099,0.7205999605889081,-0.8264709507506763,-1.0056134512823331,-2.3014561307448496,1.0238883196133595,-0.5762890084013866,-0.5415266279846316,1.58411846179507,1.4423377607206846,0.03906835344396129,-0.7278341973836894,0.2815882716071856,-0.40735300446126715,0.3340136300298186,-0.13121855674718177,2.8707140724414453,-0.5815658764362832,0.47454444222864994,-2.8453574575794582,-0.33895860940787964,0.3667306956200394,0.8906813174439251
TCGA-HU-A4GP-01A-11R-A251-31,0.40246021676920507,-0.5212279844327327,-0.6736569406415491,0.8261837064683213,-2.3487373588758422,0.7847699048106883,-1.3063521989651408,0.019061353796909035,-0.019037270364869133,1.3850505581106922,-0.24349058927533915,-0.177261253687803,-1.5407938625568298,0.9701592469285815,1.4482597495188003,-1.5838048348232658,0.7994372149248684,-1.403507239577786,1.7675448726863783,1.3437872843159473,0.45044601699064607,-0.56916585378816,1.2571708730918971,-0.9862920265479546,0.724430187071582,0.12826896554171913,-1.0382200573031164,0.38163679137713297,-1.4420245839010977,1.4014989803644191,-0.2333397503139047,-1.071834387148758,-0.9772775569213292,-2.053184623320752,0.6813899266116107,0.18571196633332562,0.5636256667946578,-0.7693121606090441,-1.9749049332305435,-0.1193517098346228,-1.9801389154666902,0.38647787764141206,1.216931207829265,0.5378000710057246,-0.8195704278808886,-0.3214657504491754,1.2926251909081947,0.3079560648793473,-0.21311703852764277,0.6048139741487359,0.575225293077535,-0.9835568276538635,-0.7665824271577227,2.1157717921473838,0.6174580643719333,0.7691235343913272,0.15586624352372,0.8105815528213673,0.7094605126244298,0.24860678028001415,-1.2546328445240393,0.5467517972933429,0.7759581649662602,-0.7434824886874162,0.2754122212179092,-0.981601536143384,0.12372720309113203,0.7022871328515737,1.495551253589602,-0.6366599259682454,-0.04783340937337465,0.39795094548656956,0.7136840718465629,-0.27425496849665537,0.1421345666113311,-0.026221903800063288,-0.17964924599504953,0.7331563616007399,0.3764517924910068,-0.41690718479030575,-0.6729790014223203,-1.7721960665155903,0.5114666655694546,-0.7325979273236837,-0.8268695618044213,1.9322287201260888,0.6237608146655116,0.23546397627498658,-0.9684290961425258,0.4826642635106505,-0.2370419416874345,-0.22214197446688028,0.18283335004034915,2.872294201875807,0.009831647709408425,-0.2020560460421223,-2.30896754370708,-1.2771813079507268,0.2900890557791167,0.6256226893427541
TCGA-VQ-A8PU-01A-12R-A414-31,0.5006229578725487,0.20819941039289694,-1.2812654200291815,0.379728957163481,-0.4052384755080332,0.6509701258299272,-0.8010003675092854,-0.5402911972725372,0.45995111664620614,0.5497221369435108,0.2679958504273508,0.27945352220407915,-1.198481995168162,1.189711407550791,1.3395022660735578,-1.2721485045702048,1.1816430667527966,-1.2663058852587865,1.7842671452403531,0.7778961734245602,0.5735026388294476,-1.0410169561173357,0.9463952495062877,-0.6456879817749023,-0.033830477661372434,-0.4249950171453999,-1.0764198079777885,0.545673739005347,-0.9474402200112221,1.3002197436060001,0.18077946490721775,-0.7991123278048964,-0.7530762984521863,-2.1781565592387016,0.440607321005807,0.45233490992011804,0.5954218146076721,0.035148805711952814,-1.9526642667779464,-0.8115801066356517,-0.3522570433551127,0.3839582532428003,0.9249791977740254,0.9602589298297696,-0.47620956240140083,-0.7731319829314801,1.8063164595720953,1.1593465885726537,-0.14557621817631214,0.7011450345935617,0.26008486923849955,-0.34103269676730086,-0.5304861654719168,2.424858940043618,0.1974738093641327,0.08041586170807806,0.11717458067064683,0.5199669615646187,1.3380330110450331,-0.059848018593153224,-0.21725091695203583,0.37906129083966633,0.911368311987526,-0.6933270549247663,0.2674337250054098,-1.2144640999713374,-0.5310462449268617,1.0019618453797363,1.6911309785646202,-0.4618499236042185,-0.26596476012885784,-0.31921338064736804,0.8366600137635135,-0.37183429446504596,0.05141347334760243,-0.3832249266741102,0.10752425222963155,0.12611107255034393,0.3369455361386978,-0.8976508230214133,-0.8931843440502396,-3.6997271428376437,0.384844540461592,-0.3352735091335469,-0.7163549651846925,0.8591309756953032,1.168573843851518,-1.0295524750613196,-1.245347369640033,0.23996771401204992,-0.6182877005565653,0.11731165868363683,-0.3896053273644482,3.1018901527578486,-0.1663552522682166,0.3813300606006017,-2.7025708149167613,-0.7725716192118114,0.5178572199282332,0.03763351151240102
TCGA-CG-5722-11A-02R-1602-13,0.2661980055562248,-0.5212652857880973,-1.0685030558058346,1.089022513437465,-1.0756890215363744,0.35203578415020453,-1.3666359044345757,-0.2031645600403577,-0.3225245905039871,1.1982926636793092,-0.49373410485695735,0.16976692784594544,-1.1977767548668137,0.5793834179466395,1.2505588756262116,-1.1745112928914052,0.4525211934411661,-0.9989308174185682,1.4603545372412399,0.6960152104028468,0.49092792177284145,-0.9541412704523718,1.0685308294956173,-1.579047473472215,0.9682490780009744,-0.5285255936751045,-0.12822115431109674,-0.4339083403396115,0.04663136343068234,1.5462897558171507,0.43557213283392876,-0.7765806935323872,-0.8246620012924002,-0.9836924274692538,0.19750202670257416,-0.1321806971866927,0.8184592454352121,-0.7791682560449057,-0.5480992329460516,0.6857488932095829,-0.7253389495786684,0.5129435615294813,1.217977202771724,0.5069017131296648,-0.5761739919109217,1.1409157336581308,1.527663798879596,0.1704978215164317,-0.7670743474102084,0.7019095626976972,0.7392087645832438,-1.2035974299533885,-2.0901302200196734,2.3921507588331616,0.10471928402892365,-0.2214811822856898,0.5621817953111278,-0.5361963824058992,0.23667142275727038,0.0648727468827263,-1.4176310310904274,1.2410220407831674,-0.004853151012233701,0.18138779120084578,0.3933982429116431,0.12927680530438887,-0.922266340242359,1.0611904224894468,2.19900574439754,-0.08925644884814529,-0.558877516005204,0.29988423305646045,0.20757971797772617,-0.7837720609087627,0.014389239936340177,-0.1328237915690397,-0.44271639042881505,-0.15588877166230164,0.8598126767649591,-1.3385304559792162,-1.4242169036861256,-0.7997858566454761,0.773915165245402,-0.28863253584589316,-1.4553335558177585,1.3735331301460387,0.5545108431041219,-0.46626571998122407,-0.6493944341930079,0.10184677073744428,-0.8381922087621877,-0.5059165767562227,0.3436268316978225,3.564224497539122,0.7316785994400357,-0.1003611607021225,-3.4117281310236707,-0.7671491550949409,0.9744594753421039,0.1091304580048008
TCGA-BR-8592-01A-11R-2402-13,0.36864001535194846,0.12935888105465948,-1.4309424327007887,0.8525677922594237,-2.211140016308209,0.6418413957060887,-0.6421152373861478,0.12744885562705918,-0.6562855171754955,1.1480141081441775,-0.6386154410204716,0.4114056184833391,-1.597792929219181,0.6477712806136471,1.471698542893785,-0.29903277259675737,0.37178854895910857,-2.962134258389242,1.8640472657300815,0.5026303083048539,0.2841244881304399,-0.6365870678578445,1.2823024141155979,-1.4798581831805915,0.5094491337360566,-0.4946249324734963,-0.2331343506793237,0.005085927687055248,-0.06357253082863479,1.8644365605713014,0.22908881136530368,-0.20241607200003894,-0.4138050731464487,-0.45172800631501103,0.2558641396838089,-0.08462116262752148,0.8522309046007733,-0.9704313642220709,-0.6207891523173829,-0.2984869040165912,-0.4769833554711517,-0.5904692479460777,0.9531187628885556,0.27569991508606817,-0.8094132371270164,1.1961828104286902,1.7595414605012463,0.3672304984913546,-0.7811009229266104,-0.667295880282257,1.0203954928912973,-1.0584286055943748,-0.4601522859542294,2.3715345175680205,0.2801102047333739,0.25644453564926467,0.23388244573041478,-0.00025004014826550934,0.4712862519844378,0.1978431592443931,-1.4930376132155452,0.16810921011508967,-0.4997918625543561,0.810113369634892,0.6223619984962919,-0.42461974095288435,-0.611040643058418,0.0528865860170945,2.5677574231965177,0.09235981500832158,-0.1849748506703233,0.3743057294956857,0.48375766395443665,-0.6150799227766136,-0.2126622708168152,-0.3771761384717735,-0.03693120607959176,0.1061021883898314,1.1908434136700679,-0.958724964501763,-0.6589107859524759,-2.2551797320182327,-0.224343899808701,0.03437335698329419,-2.078029785111434,0.28746276375819707,0.6605986583018585,-0.6217664760009609,-0.3245254532837906,0.0923307635744995,-0.5775610284225814,-0.0014952467141322663,-0.32251422970964755,3.464501564873641,0.3804199779584576,0.3740900217271437,-2.073490771085284,-0.6535462364529329,0.3904062534638216,1.0817640307348013
