,msi,MLH1,HPSE,TNNC2,AXIN2,HUNK,CEL,POFUT1,OXCT1,SLC39A5,QPRT,PRR15,LINC00526,CAB39L,FECH,RNF43,GFI1,ASPHD2,GNLY,RAB27B,ATP9A,DDX27,RNLS,SLC35D3,SEMA5A,SPIN3,TSPAN6,MCUB,TRIB2,ASCL2,LY6G6D,CIITA,SHROOM4,CELP,ACOT8,ULBP2,GRM8,CTTNBP2,GZMA,NKD1,ZMYND8,GTF2IRD1,NR1I2,PLAGL2,FITM2,LINC01006,RAB32,ZSWIM3,JAK2,NAALADL2,DDAH2,NOL4L,PIAS2,AMACR,GNG4,SNHG11,IHH,TDGF1,NHLRC1,ENO2,TCF7,EPDR1,RUBCNL,NOX1,PMEPA1,UBE2L6,IYD,TINAG,CYP2B6,MOCS3,ADGRG6,CCDC68,MOGAT3,LMO4,CDHR1,PPP1R14D,GBP4,TYMS,DOCK5,RNF125,GGT7,KHDRBS3,VAV3,AGR2,CFTR,POU5F1B,CD274,LRRC2,DHRS12,ENGASE,CXCL14,GPR143,APOL6,MAPRE3,CLDN3,CTSW,BCL11A,SYT7,SPATA25,DUSP4,TP53RK
TCGA-AF-6136-01A-11R-1830-07,MSS,0.7625222124347403,-0.3396051385212473,-0.04038763902184498,0.3646290147736313,-0.8532152018467738,-0.9910083450418647,1.384733156053204,0.5387475655924143,1.055215757210719,0.2656717829721432,1.6868226338434598,0.19325098738169288,-0.11147526163369584,-0.3294123904299981,1.0886531300291078,-0.8062139599796344,-0.11443653656928453,-0.8358556833468463,-0.5369168023222676,1.675993345640633,1.5088103287132326,-0.25376088493923976,-0.6088215143273001,0.3205132166980693,0.041658658360351215,1.7009455100533681,-0.3406198321259586,-0.08575330020381237,1.0923204007596568,-0.3975609379436577,-0.8631825373345955,-0.14399853988618622,-0.7779270419823134,0.5120238696349367,-1.2018281430545523,-0.27279260997408594,-0.6061770290656281,-0.16884187239385526,-0.3698690910504045,0.8481220829730627,0.798961383681961,1.0702390066672272,1.0103759848798075,0.3988444092419533,-0.06680048612692803,1.8658817082824188,-0.2647677731734725,0.20315254926968812,-0.5394426550811694,2.047241418200261,0.6472092650406593,-0.7753514276136283,-0.4566042287506201,-0.7944875947444059,0.3041578470604561,1.9994703457660024,0.7599309826399592,0.1399620266519415,-0.02225394664437819,-0.058196633402439725,-0.11250786117643488,1.3565353249184309,2.5238891293343264,0.9381240129159708,0.5113258358224915,0.7744871478449549,0.2456661213184433,0.9338593473863308,0.11837032289924053,-0.537510524864412,-0.1394437132072139,1.2960668895409562,-0.137441322000052,0.5711892917433925,2.172319497704666,-0.3562169414725186,1.4678599395883658,-0.19176810203234265,-0.42232157640421736,0.6737955129561688,-0.3132679994203907,0.6269861302613949,3.7158527204459646,1.1933595811882205,-1.0259505035453085,-1.0687498438969392,-0.3317017778434164,0.002213008035966508,0.6391438369400783,2.4775439687627694,-1.1069195709161388,0.27681913295850946,-0.3102547856003221,2.821102548667004,-0.8287251607855936,-0.2703159538472291,0.14151080555276804,-0.5869227372260751,0.21364049974361302,0.7667515072230396
TCGA-DY-A1H8-01A-21R-A155-07,MSS,0.2220581026087052,-0.4917904008022261,0.8221592220221139,2.2534959614722325,-0.042647037806637485,0.2403140683215004,1.40829602809546,-0.15893044428630065,2.225662854681953,1.0600383895870005,1.7741731423223817,0.09851147259309316,0.53470912505605,-0.1206585028422646,1.8823445463444684,-0.8000188116631723,-0.4566510605256986,-0.2774546449120041,-0.968573638944588,1.2189862876766913,1.6658724187508882,-0.26205857832321106,-0.9419840490699576,-0.6560693672102432,-0.31720821212327005,1.5613004622828055,-0.06803222540775995,0.13411163053504713,3.109322634710002,1.6181557697266131,-0.8472729083152698,0.016780172429491626,1.0323697358158606,0.8925906150528624,-0.8915416081851973,-0.8451509250165121,-0.9416726664698046,0.046741734804144376,2.3757976331277395,1.3983135863686726,0.7931973734901063,0.7419798002812874,0.8683443827076858,0.34843261736066905,-0.13750972473895856,0.9724171900026036,0.2915850768785567,-0.565872183581695,-0.5731994730683211,2.320317590812244,0.9117877733609792,-0.31983386601918434,-0.4987771776178016,0.6911591066197932,1.0077553683492078,1.488524015910696,-0.19597135976917032,-0.7295342251677953,0.9512581224184644,0.6862442018702708,-0.9148251263449516,1.244740693116932,1.186727967785184,1.9121560871536487,1.3441978452900447,-0.2887100592208505,0.3719804276329588,1.1741478625418438,0.4330560237591174,-0.8195052096791514,-0.10548775125218343,1.8490971930247042,0.4590563049850862,0.42130516800540896,2.1767826855201644,-0.4426132487560853,1.09145551845169,0.08608694259129139,-0.8088447103904262,0.9149101630865047,-0.12451855241147583,0.17479625742521973,1.2307313727647022,0.6199457422945055,0.3304992055411962,-0.6288635935021426,-0.6667521829093477,0.31258577558320705,1.4498685247985332,1.8335598825602268,0.2291463847941617,0.2822071469527028,0.010313423415354048,3.342030120641132,-0.8558494114061149,0.41086908054410265,1.2544097071625973,-0.20251065748506186,-0.6972098207811233,1.1918464891636789
TCGA-EI-6514-01A-11R-1736-07,MSS,0.36261611485447104,-0.8074067860673091,1.6423080696014682,1.6287053983551412,0.4763583376354205,1.5895926686157824,1.878971158151474,-0.4858473542554335,1.249205726368073,1.6358946356060322,2.613172001976817,-0.6172591320393804,0.9855990191069588,-0.4550766717426945,2.111180176607365,-1.1035814518839997,-0.6195701169629754,-0.7876666524893199,-0.9864788029184864,2.2058027475428976,1.4746412091347951,-0.6469270083603618,-0.4838498012410168,0.5700235135701159,-0.3152884930766541,1.858483227977995,-0.28496432504930425,-0.29514940713814114,2.199227568143354,2.290208991361728,-1.0681266438378667,0.22065028188649308,-0.428772724231376,0.5701345720925789,-1.1005884595799151,0.32745925008367915,-0.15640862581893894,-0.2921803884869688,0.9260458190776444,1.041313036727341,0.99160547076574,0.4493742256393151,1.3666041562203892,0.7362105543198457,0.07338851555985591,1.3013655326895048,0.3429801642946257,-0.5432976657063129,-0.07945652478562497,1.4226707724948118,0.9078989481184426,-0.8794893943161735,0.5683740118672982,1.2517068818000727,0.059549000090132725,2.062082997948853,0.6302641592416934,-0.5264113927954159,-0.16506006740127688,0.7045528587555049,1.3068140597413584,1.2153214839080138,-0.3784023373268419,1.6354964859888368,1.3782027654897535,0.7754377297870458,0.21781301170720554,0.6025083711513503,0.2436067721508648,-0.5657183350975298,-0.8153442973888599,1.3357975631215662,-0.16196420520976815,0.9585962402320376,1.634265839643952,0.033239084489298285,0.13073187536936148,-0.4134122986367837,-1.01544260310694,1.1130371028285846,-0.4667949491680658,1.5644203783308994,1.339228239674646,1.7876918756359377,-0.7938218917010355,-0.9947862167787012,-0.07540861870621088,0.6550163560984685,0.7504631510843371,2.658589423451589,-0.18695313320994425,0.32886346002844,0.08318654253454874,2.918951281893412,-0.6819574388287426,-0.3126799937378574,1.3279631837968546,-0.5580658422520518,-0.9758305326721344,0.9335191611239578
TCGA-AG-3574-01A-01R-0821-07,MSS,0.21707256086158053,-0.6314978789044031,0.775622753169803,1.8211789440130453,0.5150959972894461,2.002926748384545,1.4211869873391838,0.06320618883287878,2.048702052101796,1.6389116746389738,1.6321938497063042,-0.052835624418578316,1.110465944329551,-0.3705591876081328,1.7321387347276271,-0.9972828410639151,-0.5603379570353807,-0.9392699279409312,-0.7285017196979205,1.1424253891679907,0.6689961560688965,-0.19905160131440414,0.06461654779443422,-0.03485699205795805,-0.3234676522395656,1.895155176322277,-0.5701865988113868,-0.6645468841401995,1.8940104350064997,1.6442194023194212,-1.0225131462467467,0.020049345901887058,-0.008244910235264974,0.7899890712833498,-0.6046322727148188,-0.9810781627931174,-0.013087627758422309,-0.17292124431783568,1.834923900877117,1.0794962196803128,0.5036631782600454,0.5425356800427488,1.0882684054904377,0.6791526183600772,-0.38373213445451,1.169576202473814,0.23829438628340366,-0.6879505000927159,-0.3384636171904003,1.2431640844812828,0.6494701304678966,-0.9589330553941467,0.4573391138067057,0.845213826787417,0.38674650228670737,2.178781835075656,0.7359043157959445,-0.7327452949749828,0.1661057907118137,0.5592473227608394,0.8199148480147951,0.5565800747626372,1.62013236904078,1.6550048780072777,1.0029139018389728,0.22799112434997576,0.1252552850516085,1.168109572348668,0.3478497142485583,-0.8036768406055104,-0.7428281695368351,0.4208819547380552,-0.2518965855331902,0.4436506817356975,1.4873204052671745,-0.551277064716766,0.4567576437857027,-0.4079728034253341,-0.8085842268660419,0.7922773334297031,-0.2744061766424996,1.5713401949474666,2.0586384643605995,1.3758383717216085,-0.5395407116499985,-0.9844827701567976,-0.8569505348481892,-0.2965245901943407,0.6977446864536468,2.6574948826629523,-0.0013906299985732616,-0.2903070142348503,0.037422998914903284,2.904972072546668,-0.7769663868913627,-0.12410638676584115,0.7111236146181092,-0.5602166491070615,-0.7183672951334403,1.1671678296515853
TCGA-DY-A1DC-01A-31R-A155-07,MSS,0.6048548133223283,-0.3396593937179521,1.5045830740402415,0.9761349006299144,0.2747761625709077,-0.6368868647210033,1.5952671308964714,-0.12819496445081918,1.2200103059369571,1.4156973253479714,2.1652396672916483,-0.4852904451669544,-0.1721827384108229,-0.3175396289685253,1.7196337594697604,-0.9828141605452232,-0.4429002632562453,-0.7543316248144292,-0.9559985730493354,1.428506128726236,1.6824348595999112,-0.3360428655496436,-0.3433566630964761,0.4419075430129656,-0.5221457363425094,1.5205286185434963,0.18780122637949465,-0.3130628227800564,2.065127698197184,2.2973264418496715,-0.8318545569364856,-0.2989362471655414,-0.8383571369676717,0.7739459549941478,-1.0641689017210203,0.501354683766536,-0.2505505929816748,-0.3594484909763324,-0.4715928053298227,1.1998782366337908,1.1595886754606504,1.1429149753742331,1.165713773115841,0.6204904760116607,0.22721994053379896,1.5378283285724652,-0.1391713527011558,-0.5695455422036325,-0.06021970363485496,1.887576535881461,0.8315981951402501,-0.6718362382756475,-0.3388680737559654,0.2813006172431349,0.5581406101413342,2.5455515001604043,0.5044773084882009,-1.1509265084096498,-0.00763922401217313,0.5075076508559807,-0.3732243497517146,0.5179313143744236,2.1348096978659674,1.3253303938959078,1.572642799086762,0.3602581116781154,-0.6872106873534121,0.14475115431407085,0.19343843650604836,-0.3905556005946551,-0.6760918725966732,0.4866300497312062,-0.22726433518535005,0.7440509513094662,2.1031805946989928,-0.26588872648361805,0.6206115458911408,-0.5652125960277079,-0.6298775970353425,0.7053365391880538,-0.7386517941998103,0.9493165303965976,2.892467114557458,1.4802212811801407,0.3047100805810036,-0.8866114614764133,-0.4986621992631517,0.4580703695801714,0.5057371589414148,3.084088977276493,0.033912496124643664,0.019581805229532692,0.05863850248088035,3.7298211979277167,-0.7128494580931508,0.0980377856003666,1.3903606066368304,-0.6749755309718859,-0.6889680007066238,0.7581247724255161
TCGA-DY-A1DE-01A-11R-A155-07,MSS,0.6453904192769185,-0.4838705203754315,0.052348863597144885,1.1631030559047353,-0.3186750763554672,1.0612180227288182,1.8256501668358551,0.4802307688195773,1.459454093850295,1.7654750724897488,1.7947404562925264,-0.09600727172525088,-0.3981817694622477,-0.4767825768607714,1.7916688263779517,-1.0590141869278022,-0.3558362440820175,-0.6117835141437029,-1.1466558376596212,1.3095493266355482,1.4463875415686132,-0.5772122176902429,-0.3663659666083179,0.12057346364237374,-0.3069870555131589,1.533293794478009,0.13114777884759649,-0.09418155551607467,2.132571483726473,2.5682495881331557,-0.9126503853779424,0.033402237111444584,0.4327951833777625,0.5837090955130999,-0.9040887724467797,-0.3898079602732899,-0.7792142804678764,-0.08436757100532526,-0.7245799162437326,0.360899506021151,0.7818385021278424,0.3592374137116869,1.6686837929850902,0.6975210830578527,-0.04022458258997056,1.62633660462089,-0.2923753575204619,-0.10911379024501312,-0.8448218308587289,1.9878510747200813,0.5171088909748813,-0.7985152299052923,0.4541804879473785,-0.7771165720576145,0.5304413347286112,2.1930492790298093,1.2774700284931222,-0.4623455514802177,-0.17288031872043785,0.5198614176596558,1.1135015417137029,1.2756349304184853,2.8155292922524917,0.8654920837346043,2.472738047602202,-0.8884623087939579,0.4734654238397927,0.3217484624424338,0.105538933702099,-0.37011901012290266,-0.6719783495948912,0.8280155206256312,0.2844230479679374,1.690301674630079,1.9379787609697376,-0.09141822582018336,1.4255841021770612,-0.7216129035709646,-0.8695727138919149,1.1200135081420888,-0.5317155907998222,0.6024637293861581,2.9769983473155697,1.4782194997774476,-0.5859672348430606,-0.7310355596173581,-0.4111076571154454,0.1421560291917418,1.2910543600006994,0.6129712590912245,-0.08556414894514798,0.6774109767585602,-0.008481332953360055,3.1091813230840297,-0.4475390666473759,0.07184939465050612,0.4117525701638896,-0.3144396577998449,-0.7907011155879591,0.4407754919991548
TCGA-AG-3725-01A-11R-1736-07,MSS,0.5577280137520818,-0.6812225975113531,0.22456170655931207,2.0634414855231364,0.059646620818553264,-1.0049915609576459,1.1349936583949758,0.10228566099002118,1.5207644110406764,1.6055458602575476,2.1638095609157437,-0.6408083512467541,-0.23764418486851455,-0.5932849024280409,1.7334214184747512,-0.921144735585878,-0.5389417152614072,-0.7608873933795831,-1.07302474939658,1.4764898095425627,1.2775270826934189,-0.5323431940672807,-0.28695671168057674,0.20584500821261795,-0.2692241459416211,1.5076022198672625,-0.3584486321888136,-0.41524767818335306,2.1730813477765305,0.9867748463994244,-0.6058824937517505,-0.02497411473611085,-1.0124403628531786,0.4822042793549681,-1.0995153658812271,-0.1516974174052809,-0.4539593434695306,0.3904797684094469,1.594760916448729,0.8527952022873054,1.0859560202946466,0.8738741583245409,0.6973356357406356,0.2266377974820587,-0.33388205511884195,1.6853025967241324,-0.15306328766629265,0.29794446039405104,-0.4657181359679103,1.9898911349776849,0.7020011150651913,-0.8904751004125436,-0.3887156762329056,-0.7382396044466683,-0.04264284985225846,1.8790573312336452,0.4845206535716383,-0.06115005499100715,0.5429981419136557,0.8013645109319606,-0.09350389309614904,1.1489913289142124,2.095030830107095,1.2394139252751588,1.5068591769691069,-0.011571081428744523,-0.5842119221734107,0.3795139323024057,-0.027875785768175402,-0.9812586653770236,-0.4625034181858253,0.8014969838151998,-0.6625254460719621,1.324861036844205,1.831482374148041,-0.02764152850230056,0.6611953627555524,-0.12919247743687115,-0.3538241043092621,0.4066962119141898,-0.5187978547468737,0.5972476893669088,2.8860335922444813,1.2204821335049656,-0.7066990987941076,-0.20532452565266476,-0.3870698176748135,-0.044112993689810885,0.5273486354660274,2.085892116338796,-0.7427645799129552,0.3725206784370513,0.6905585500669656,3.1664288988435128,-0.8169513621269459,-0.2660087288836621,0.2931040507966638,-0.6601865593756385,-0.2690286443402899,0.3688988546058919
TCGA-G4-6302-01A-11R-1723-07,MSI-H,0.2565082266506943,-0.5515089517647787,-0.398303806577201,0.17095863527095598,-0.2384409990162228,-1.2008566827948504,0.7666327771017115,0.7132561669299516,-0.15772956109907693,-0.14824989892184345,0.9223528269092716,-0.7674838165015341,0.07797174670887409,0.23435422244514326,0.4225089973449998,-0.6811561574133582,-0.09210271991930837,-0.6992406832869065,-0.2376060403300876,1.0042485394175706,0.37266776509458577,-0.7751828209348713,-1.1613513157409323,-0.4389753779041403,-0.8846980561599287,0.5940678339886021,0.12156646875503342,0.8909291933786235,0.35669570869927536,-1.1204818942505776,-0.2576183606856939,-0.6361823175638345,-1.2472410860709906,-0.09052466704900697,0.2148810550795968,-1.234305450000979,-0.8622702061639157,0.19275010274555385,-0.22128273075757415,0.3827742898701673,0.28449953593960964,-0.33008877598350145,0.14773769819037166,-0.09697951790492446,-0.775605220881139,1.0742592247302565,-0.5954347136573238,-0.03359205428786319,-1.04941687448026,1.2751921429987767,0.160415875707725,-0.7260110760410945,-0.5244040553663046,-0.6282061625111589,-0.39572731624759705,0.4414404189635819,-0.8815296036475224,-0.6552979111935331,0.7841297242209371,-0.6351426839406087,0.3286144467111839,-0.9049861622456178,1.2871302775559412,1.1568609907881522,1.6892085050906156,-0.8774549990006316,-1.2712518957691883,-1.1745043033430296,-0.456942723175206,0.017109156039105608,-0.2249336912761012,-0.6173324928084801,0.8642097157565007,-0.7085705363810234,-0.22374747961965266,0.7286252397934421,0.7289404987233589,-0.06643172344591024,-0.3392477437076232,-0.07250685321769915,-0.7628546532677812,-0.9131439654726716,3.4350298400199644,-0.09716038503563128,-1.2137514845381063,-0.7864820490321865,-0.8671200498082263,-0.2734767269586409,-0.17429642698696773,0.14269839862590186,-0.7225793502977359,0.5991408049608054,-0.06411603342177714,2.6497599695807774,-0.7116420166289532,-0.7142973250482507,0.010679874216140443,-0.9954376745591222,0.8385256483836171,0.1437193522638259
TCGA-CK-4947-01B-11R-1653-07,MSS,0.6813402463517491,-0.23432994897169684,0.592401035972377,1.6287854697113155,0.4544642109486986,0.6723517940181905,1.380231925401903,-0.2680691432068753,1.5457294202265095,1.1850346236977514,1.892512182249651,-0.6442464209736597,0.9741933708306516,0.02345032284915254,1.7205682406437035,-0.5344933075801848,-0.2628545414558571,-0.5629768083832359,-0.638885463335369,1.4481900479727372,0.923293372694468,-0.361107807868702,-0.5153700383573936,0.3118036946339185,-0.5694624698263211,1.6091738918514156,0.12789030049323166,-0.28540076100512546,0.7885377779534608,0.2423304929141765,-0.8492442282800242,-0.5394581308135891,-0.7159882138136292,0.09204514472847207,-1.0411069344852135,-0.1383557432328735,-0.6668491434582124,0.4487564368311066,-0.5877786342502129,0.8464883560257247,0.8222087936880544,0.6554254203531651,1.2286973013460265,0.4606116984696609,-0.7779550134590358,1.574829929385965,-0.4394329393203355,-0.10945899676911576,-0.577852786566839,1.010200483982192,0.4955058280380471,-0.7488533701053098,0.2123397110407084,-0.2573458562302667,-0.25873716354449033,1.1010381389484991,0.14646218560438606,-0.747986933715093,-0.14982102664393487,0.025297186608241682,0.7167854848803611,1.66229063751924,2.337510621586915,0.7899137390820775,1.6476263641981257,0.3194527990536121,-0.2687093288933404,1.4386842041298606,-0.1881777845726887,0.1663460288223562,-0.1275049744623791,0.4078477797891207,-0.2453170504845582,0.8108407456618837,1.8696303469686189,0.4974717444805225,1.215493293837702,-0.2158191752740456,-0.3158012275697618,-0.1336343955213374,-1.100802793708012,0.5417968327897197,3.6683691511409156,1.6316134731097025,-0.5447205778796331,-0.9325935974901352,-0.6621605970017521,-0.05361999039013728,0.7132582704599174,3.047478690501877,-0.4399830748758984,0.8958290120712921,-0.1804195284510952,3.1750740278463447,-0.2011961325786404,-0.8448128557668398,0.5820440182682667,-1.050454328781535,0.3850269149756032,0.4820698586646448
TCGA-NH-A6GC-01A-12R-A41B-07,MSS,0.6270861977962432,-0.6086174086453965,0.8077230847625563,1.072855212598828,-0.6118516357643684,-0.8985933923518071,1.0630580368361535,0.24884344711022485,0.9920918920580142,0.1638619630523504,1.8383771929049848,-0.29709251126929115,-0.7804185241335558,-0.40178602324136253,1.5199276530375616,-0.08604610688844645,-0.2450318065232239,-0.4378905786328285,-0.4002598596936152,1.8495928418246272,1.3820509845308615,-0.6724901789385833,-0.7829752513060599,0.3412810859885205,-0.14333871753940589,1.2379378390924547,-0.2360540820314315,0.5394926943133782,1.576525726292174,-0.6132666787667506,-0.9111658587565326,-0.16028870914442514,-1.1117900114496846,0.5635548587631936,-0.9149260178744394,-0.8200865694031461,-0.769095821021558,-0.004093026650731132,1.359774708020567,1.4308191921058508,0.6549593352269618,0.4735207813488622,0.5457735676490599,0.2899413111400005,0.2872182719415893,1.1016892512616296,0.062138895114053225,0.31689466762065976,-0.4930620844685013,1.7368623734898132,0.7166300486303889,-0.8442676485214282,-0.5395398841985161,-0.8679184110773108,0.3888260653112138,2.3284679342161776,0.5696017178523541,-0.32411004820189115,0.9832444828803516,0.09954727491085602,0.2857721297215613,0.0967780681125983,2.7536052483484728,1.384778241729171,1.336709023754813,0.5588855915347629,0.2987513289771193,-0.357635439006266,0.0006312245070010723,-0.9879074387535792,-0.5202960232970038,0.4245818776847994,0.08502394140093962,0.4532408740867533,0.6415415632529625,-0.6101700791875433,0.4819795716724991,0.08217335999743848,-0.6585134065054518,0.8043568031651149,-0.3919580723219475,0.7118201363947184,4.049270580743039,-0.004322717402229064,-1.1042001768196554,-0.7579285872401947,-0.4225244445717058,-0.2037734069501088,1.0598994212825121,2.066827408071675,-0.8802743782150685,0.36486789055318586,0.07801497543507871,3.2355822645503456,-0.6492646525653744,-0.13674681067974775,0.8029473899285147,-0.4983204071892984,0.7201695546407512,0.4958594058428077
